center,left,right,steering,throttle,brake,speed
IMG\center_2018_01_06_22_50_45_971.jpg,IMG\left_2018_01_06_22_50_45_971.jpg,IMG\right_2018_01_06_22_50_45_971.jpg,0.2245665,1,0,30.19589
IMG\center_2018_01_06_22_50_46_070.jpg,IMG\left_2018_01_06_22_50_46_070.jpg,IMG\right_2018_01_06_22_50_46_070.jpg,0,1,0,30.18353
IMG\center_2018_01_06_22_50_46_172.jpg,IMG\left_2018_01_06_22_50_46_172.jpg,IMG\right_2018_01_06_22_50_46_172.jpg,0,1,0,30.18991
IMG\center_2018_01_06_22_50_46_264.jpg,IMG\left_2018_01_06_22_50_46_264.jpg,IMG\right_2018_01_06_22_50_46_264.jpg,-0.25,1,0,30.1703
IMG\center_2018_01_06_22_50_46_358.jpg,IMG\left_2018_01_06_22_50_46_358.jpg,IMG\right_2018_01_06_22_50_46_358.jpg,-0.2756811,1,0,30.17992
IMG\center_2018_01_06_22_50_46_446.jpg,IMG\left_2018_01_06_22_50_46_446.jpg,IMG\right_2018_01_06_22_50_46_446.jpg,-0.008579578,1,0,30.18723
IMG\center_2018_01_06_22_50_46_535.jpg,IMG\left_2018_01_06_22_50_46_535.jpg,IMG\right_2018_01_06_22_50_46_535.jpg,0,1,0,30.19048
IMG\center_2018_01_06_22_50_46_625.jpg,IMG\left_2018_01_06_22_50_46_625.jpg,IMG\right_2018_01_06_22_50_46_625.jpg,0,1,0,30.18974
IMG\center_2018_01_06_22_50_46_694.jpg,IMG\left_2018_01_06_22_50_46_694.jpg,IMG\right_2018_01_06_22_50_46_694.jpg,0,1,0,30.18994
IMG\center_2018_01_06_22_50_46_761.jpg,IMG\left_2018_01_06_22_50_46_761.jpg,IMG\right_2018_01_06_22_50_46_761.jpg,0.15,1,0,30.18255
IMG\center_2018_01_06_22_50_46_830.jpg,IMG\left_2018_01_06_22_50_46_830.jpg,IMG\right_2018_01_06_22_50_46_830.jpg,0.2811217,1,0,30.17026
IMG\center_2018_01_06_22_50_46_901.jpg,IMG\left_2018_01_06_22_50_46_901.jpg,IMG\right_2018_01_06_22_50_46_901.jpg,0.06717564,1,0,30.19059
IMG\center_2018_01_06_22_50_46_969.jpg,IMG\left_2018_01_06_22_50_46_969.jpg,IMG\right_2018_01_06_22_50_46_969.jpg,0,1,0,30.18928
IMG\center_2018_01_06_22_50_47_039.jpg,IMG\left_2018_01_06_22_50_47_039.jpg,IMG\right_2018_01_06_22_50_47_039.jpg,0,1,0,30.19006
IMG\center_2018_01_06_22_50_47_111.jpg,IMG\left_2018_01_06_22_50_47_111.jpg,IMG\right_2018_01_06_22_50_47_111.jpg,0,1,0,30.19
IMG\center_2018_01_06_22_50_47_188.jpg,IMG\left_2018_01_06_22_50_47_188.jpg,IMG\right_2018_01_06_22_50_47_188.jpg,-0.05,1,0,30.18925
IMG\center_2018_01_06_22_50_47_257.jpg,IMG\left_2018_01_06_22_50_47_257.jpg,IMG\right_2018_01_06_22_50_47_257.jpg,-0.1714299,1,0,30.18187
IMG\center_2018_01_06_22_50_47_325.jpg,IMG\left_2018_01_06_22_50_47_325.jpg,IMG\right_2018_01_06_22_50_47_325.jpg,0,1,0,30.18946
IMG\center_2018_01_06_22_50_47_391.jpg,IMG\left_2018_01_06_22_50_47_391.jpg,IMG\right_2018_01_06_22_50_47_391.jpg,0,1,0,30.19001
IMG\center_2018_01_06_22_50_47_462.jpg,IMG\left_2018_01_06_22_50_47_462.jpg,IMG\right_2018_01_06_22_50_47_462.jpg,0,1,0,30.19014
IMG\center_2018_01_06_22_50_47_533.jpg,IMG\left_2018_01_06_22_50_47_533.jpg,IMG\right_2018_01_06_22_50_47_533.jpg,0,1,0,30.18959
IMG\center_2018_01_06_22_50_47_687.jpg,IMG\left_2018_01_06_22_50_47_687.jpg,IMG\right_2018_01_06_22_50_47_687.jpg,0,1,0,28.79791
IMG\center_2018_01_06_22_51_09_080.jpg,IMG\left_2018_01_06_22_51_09_080.jpg,IMG\right_2018_01_06_22_51_09_080.jpg,0.6000001,1,0,30.13431
IMG\center_2018_01_06_22_51_09_153.jpg,IMG\left_2018_01_06_22_51_09_153.jpg,IMG\right_2018_01_06_22_51_09_153.jpg,0.6453589,1,0,30.13638
IMG\center_2018_01_06_22_51_09_224.jpg,IMG\left_2018_01_06_22_51_09_224.jpg,IMG\right_2018_01_06_22_51_09_224.jpg,0.4040993,1,0,30.1922
IMG\center_2018_01_06_22_51_09_298.jpg,IMG\left_2018_01_06_22_51_09_298.jpg,IMG\right_2018_01_06_22_51_09_298.jpg,0.1840076,1,0,30.19715
IMG\center_2018_01_06_22_51_09_371.jpg,IMG\left_2018_01_06_22_51_09_371.jpg,IMG\right_2018_01_06_22_51_09_371.jpg,0,1,0,30.18626
IMG\center_2018_01_06_22_51_09_440.jpg,IMG\left_2018_01_06_22_51_09_440.jpg,IMG\right_2018_01_06_22_51_09_440.jpg,0,1,0,30.18925
IMG\center_2018_01_06_22_51_09_507.jpg,IMG\left_2018_01_06_22_51_09_507.jpg,IMG\right_2018_01_06_22_51_09_507.jpg,0,1,0,30.19
IMG\center_2018_01_06_22_51_09_574.jpg,IMG\left_2018_01_06_22_51_09_574.jpg,IMG\right_2018_01_06_22_51_09_574.jpg,0,1,0,30.19033
IMG\center_2018_01_06_22_51_09_641.jpg,IMG\left_2018_01_06_22_51_09_641.jpg,IMG\right_2018_01_06_22_51_09_641.jpg,0.2,1,0,30.18082
IMG\center_2018_01_06_22_51_09_708.jpg,IMG\left_2018_01_06_22_51_09_708.jpg,IMG\right_2018_01_06_22_51_09_708.jpg,0.2555492,1,0,30.17868
IMG\center_2018_01_06_22_51_09_777.jpg,IMG\left_2018_01_06_22_51_09_777.jpg,IMG\right_2018_01_06_22_51_09_777.jpg,0.02069226,1,0,30.19063
IMG\center_2018_01_06_22_51_09_863.jpg,IMG\left_2018_01_06_22_51_09_863.jpg,IMG\right_2018_01_06_22_51_09_863.jpg,0,1,0,30.19209
IMG\center_2018_01_06_22_51_09_960.jpg,IMG\left_2018_01_06_22_51_09_960.jpg,IMG\right_2018_01_06_22_51_09_960.jpg,0.1,1,0,30.18925
IMG\center_2018_01_06_22_51_10_054.jpg,IMG\left_2018_01_06_22_51_10_054.jpg,IMG\right_2018_01_06_22_51_10_054.jpg,0.3,1,0,30.16745
IMG\center_2018_01_06_22_51_10_156.jpg,IMG\left_2018_01_06_22_51_10_156.jpg,IMG\right_2018_01_06_22_51_10_156.jpg,0.4552366,1,0,30.16083
IMG\center_2018_01_06_22_51_10_225.jpg,IMG\left_2018_01_06_22_51_10_225.jpg,IMG\right_2018_01_06_22_51_10_225.jpg,0.2477656,1,0,30.19355
IMG\center_2018_01_06_22_51_10_301.jpg,IMG\left_2018_01_06_22_51_10_301.jpg,IMG\right_2018_01_06_22_51_10_301.jpg,0.02006271,1,0,30.18727
IMG\center_2018_01_06_22_51_10_372.jpg,IMG\left_2018_01_06_22_51_10_372.jpg,IMG\right_2018_01_06_22_51_10_372.jpg,0.1700627,1,0,30.19056
IMG\center_2018_01_06_22_51_10_444.jpg,IMG\left_2018_01_06_22_51_10_444.jpg,IMG\right_2018_01_06_22_51_10_444.jpg,0.3700627,1,0,30.17061
IMG\center_2018_01_06_22_51_10_530.jpg,IMG\left_2018_01_06_22_51_10_530.jpg,IMG\right_2018_01_06_22_51_10_530.jpg,0.1921131,1,0,30.19258
IMG\center_2018_01_06_22_51_10_608.jpg,IMG\left_2018_01_06_22_51_10_608.jpg,IMG\right_2018_01_06_22_51_10_608.jpg,0,1,0,30.18722
IMG\center_2018_01_06_22_51_10_693.jpg,IMG\left_2018_01_06_22_51_10_693.jpg,IMG\right_2018_01_06_22_51_10_693.jpg,0.1,1,0,30.19194
IMG\center_2018_01_06_22_51_10_775.jpg,IMG\left_2018_01_06_22_51_10_775.jpg,IMG\right_2018_01_06_22_51_10_775.jpg,0.3,1,0,30.17367
IMG\center_2018_01_06_22_51_10_857.jpg,IMG\left_2018_01_06_22_51_10_857.jpg,IMG\right_2018_01_06_22_51_10_857.jpg,0.3688341,1,0,30.17405
IMG\center_2018_01_06_22_51_10_945.jpg,IMG\left_2018_01_06_22_51_10_945.jpg,IMG\right_2018_01_06_22_51_10_945.jpg,0.3380637,1,0,30.18099
IMG\center_2018_01_06_22_51_11_035.jpg,IMG\left_2018_01_06_22_51_11_035.jpg,IMG\right_2018_01_06_22_51_11_035.jpg,0.5380637,1,0,30.15289
IMG\center_2018_01_06_22_51_11_124.jpg,IMG\left_2018_01_06_22_51_11_124.jpg,IMG\right_2018_01_06_22_51_11_124.jpg,0.3800478,1,0,30.19076
IMG\center_2018_01_06_22_51_11_216.jpg,IMG\left_2018_01_06_22_51_11_216.jpg,IMG\right_2018_01_06_22_51_11_216.jpg,0.1021313,1,0,30.18951
IMG\center_2018_01_06_22_51_11_299.jpg,IMG\left_2018_01_06_22_51_11_299.jpg,IMG\right_2018_01_06_22_51_11_299.jpg,0.1,1,0,30.19136
IMG\center_2018_01_06_22_51_11_385.jpg,IMG\left_2018_01_06_22_51_11_385.jpg,IMG\right_2018_01_06_22_51_11_385.jpg,0.3,1,0,30.17792
IMG\center_2018_01_06_22_51_11_484.jpg,IMG\left_2018_01_06_22_51_11_484.jpg,IMG\right_2018_01_06_22_51_11_484.jpg,0.08376367,1,0,30.19135
IMG\center_2018_01_06_22_51_11_573.jpg,IMG\left_2018_01_06_22_51_11_573.jpg,IMG\right_2018_01_06_22_51_11_573.jpg,0,1,0,30.1897
IMG\center_2018_01_06_22_51_11_646.jpg,IMG\left_2018_01_06_22_51_11_646.jpg,IMG\right_2018_01_06_22_51_11_646.jpg,0,1,0,30.19019
IMG\center_2018_01_06_22_51_11_718.jpg,IMG\left_2018_01_06_22_51_11_718.jpg,IMG\right_2018_01_06_22_51_11_718.jpg,0.05,1,0,30.18997
IMG\center_2018_01_06_22_51_11_787.jpg,IMG\left_2018_01_06_22_51_11_787.jpg,IMG\right_2018_01_06_22_51_11_787.jpg,0.2,1,0,30.18124
IMG\center_2018_01_06_22_51_11_857.jpg,IMG\left_2018_01_06_22_51_11_857.jpg,IMG\right_2018_01_06_22_51_11_857.jpg,0.1183298,1,0,30.18974
IMG\center_2018_01_06_22_51_11_931.jpg,IMG\left_2018_01_06_22_51_11_931.jpg,IMG\right_2018_01_06_22_51_11_931.jpg,0,1,0,30.18949
IMG\center_2018_01_06_22_51_12_002.jpg,IMG\left_2018_01_06_22_51_12_002.jpg,IMG\right_2018_01_06_22_51_12_002.jpg,0,1,0,30.19018
IMG\center_2018_01_06_22_51_12_072.jpg,IMG\left_2018_01_06_22_51_12_072.jpg,IMG\right_2018_01_06_22_51_12_072.jpg,0,1,0,30.19028
IMG\center_2018_01_06_22_51_12_139.jpg,IMG\left_2018_01_06_22_51_12_139.jpg,IMG\right_2018_01_06_22_51_12_139.jpg,0,1,0,30.19016
IMG\center_2018_01_06_22_51_12_211.jpg,IMG\left_2018_01_06_22_51_12_211.jpg,IMG\right_2018_01_06_22_51_12_211.jpg,0,1,0,30.19031
IMG\center_2018_01_06_18_56_09_358.jpg,IMG\left_2018_01_06_18_56_09_358.jpg,IMG\right_2018_01_06_18_56_09_358.jpg,0.25,1,0,30.18968
IMG\center_2018_01_06_18_56_09_431.jpg,IMG\left_2018_01_06_18_56_09_431.jpg,IMG\right_2018_01_06_18_56_09_431.jpg,0.45,1,0,30.17503
IMG\center_2018_01_06_18_56_09_500.jpg,IMG\left_2018_01_06_18_56_09_500.jpg,IMG\right_2018_01_06_18_56_09_500.jpg,0.3467042,1,0,30.18915
IMG\center_2018_01_06_18_56_09_849.jpg,IMG\left_2018_01_06_18_56_09_849.jpg,IMG\right_2018_01_06_18_56_09_849.jpg,0.25,1,0,30.18982
IMG\center_2018_01_06_18_56_09_921.jpg,IMG\left_2018_01_06_18_56_09_921.jpg,IMG\right_2018_01_06_18_56_09_921.jpg,0.4,1,0,30.18035
IMG\center_2018_01_06_18_56_09_994.jpg,IMG\left_2018_01_06_18_56_09_994.jpg,IMG\right_2018_01_06_18_56_09_994.jpg,0.6063684,1,0,30.15678
IMG\center_2018_01_06_18_56_10_069.jpg,IMG\left_2018_01_06_18_56_10_069.jpg,IMG\right_2018_01_06_18_56_10_069.jpg,0.3577824,1,0,30.19159
IMG\center_2018_01_06_18_56_10_285.jpg,IMG\left_2018_01_06_18_56_10_285.jpg,IMG\right_2018_01_06_18_56_10_285.jpg,0.3,1,0,30.1895
IMG\center_2018_01_06_18_56_10_352.jpg,IMG\left_2018_01_06_18_56_10_352.jpg,IMG\right_2018_01_06_18_56_10_352.jpg,0.45,1,0,30.17762
IMG\center_2018_01_06_18_56_10_421.jpg,IMG\left_2018_01_06_18_56_10_421.jpg,IMG\right_2018_01_06_18_56_10_421.jpg,0.6,1,0,30.15991
IMG\center_2018_01_06_18_56_10_494.jpg,IMG\left_2018_01_06_18_56_10_494.jpg,IMG\right_2018_01_06_18_56_10_494.jpg,0.6238833,1,0,30.17111
IMG\center_2018_01_06_18_56_10_567.jpg,IMG\left_2018_01_06_18_56_10_567.jpg,IMG\right_2018_01_06_18_56_10_567.jpg,0.3843509,1,0,30.19423
